"actor","total_titles"
"Anupam Kher","43"
"Shah Rukh Khan","35"
"Julie Tejwani","33"
"Naseeruddin Shah","32"
"Takahiro Sakurai","32"
"Rupa Bhimani","31"
"Akshay Kumar","30"
"Om Puri","30"
"Yuki Kaji","29"
"Amitabh Bachchan","28"
